border_fraction,attended_pixel_count,overlap_precision,overlap_recall,chance_precision,enrichment,fold,dataset,patient_id,slice_index
0.041455078125,20480,0.0,0.0,0.037587890625,0.0,2,MSD,pancreas_125,132
0.32783203125,20480,,,,,2,MSD,pancreas_138,51
0.31494140625,20480,,,,,2,MSD,pancreas_326,178
0.323828125,20480,,,,,2,MSD,pancreas_224,230
0.083447265625,20480,,,,,2,MSD,pancreas_025,8
0.27646484375,20480,0.0,0.0,0.00265625,0.0,2,MSD,pancreas_326,62
0.06591796875,20480,0.0,0.0,0.007919921875,0.0,2,MSD,pancreas_191,70
0.23274431318949526,20486,,,,,2,MSD,pancreas_303,32
0.455810546875,20480,,,,,2,MSD,pancreas_326,185
0.094384765625,20480,0.0,0.0,0.01767578125,0.0,2,MSD,pancreas_106,82
0.041015625,20480,,,,,2,MSD,pancreas_166,165
0.49609375,20480,0.0,0.0,0.009521484375,0.0,2,MSD,pancreas_329,97
0.19072265625,20480,0.0,0.0,0.00365234375,0.0,2,MSD,pancreas_344,122
0.3751953125,20480,,,,,2,MSD,pancreas_308,45
0.11025390625,20480,0.0,0.0,0.00078125,0.0,2,MSD,pancreas_106,30
0.3728515625,20480,,,,,2,MSD,pancreas_213,173
0.240625,20480,0.0,0.0,0.00486328125,0.0,2,MSD,pancreas_344,125
0.219287109375,20480,,,,,2,MSD,pancreas_286,187
0.22637641546270987,20488,0.0,0.0,0.004853515625,0.0,2,MSD,pancreas_259,77
0.08115234375,20480,0.0,0.0,0.00896484375,0.0,2,MSD,pancreas_196,87
0.281884765625,20480,,,,,2,MSD,pancreas_259,46
0.067041015625,20480,,,,,2,MSD,pancreas_166,177
0.16484375,20480,,,,,2,MSD,pancreas_032,124
0.085693359375,20480,,,,,2,MSD,pancreas_169,144
0.16005859375,20480,,,,,2,MSD,pancreas_325,81
0.067626953125,20480,,,,,3,MSD,pancreas_067,52
0.00615234375,20480,,,,,3,MSD,pancreas_147,187
0.497802734375,20480,,,,,3,MSD,pancreas_127,183
0.033203125,20480,,,,,3,MSD,pancreas_262,160
0.20126953125,20480,0.0,0.0,0.00705078125,0.0,3,MSD,pancreas_291,113
0.012109375,20480,0.0,0.0,0.00419921875,0.0,3,MSD,pancreas_222,120
0.020849609375,20480,,,,,3,MSD,pancreas_222,36
0.162744140625,20480,,,,,3,MSD,pancreas_348,63
0.151806640625,20480,,,,,3,MSD,pancreas_207,180
0.03505859375,20480,,,,,3,MSD,pancreas_207,143
0.1607421875,20480,,,,,3,MSD,pancreas_167,217
0.01474609375,20480,,,,,3,MSD,pancreas_178,200
0.0580078125,20480,0.0,0.0,0.028720703125,0.0,3,MSD,pancreas_088,186
0.21533203125,20480,0.0,0.0,0.007314453125,0.0,3,MSD,pancreas_318,126
